a,b,c
0,0,0
1,4,1
2,14,0
3,25,2
4,23,1
5,22,2
6,22,4
7,20,1
8,25,4
9,29,2
10,24,0
11,35,6
12,46,0
13,29,0
14,36,6
15,34,2
16,39,0
17,42,1
18,51,3
19,39,4
20,44,3
21,55,7
22,39,5
23,35,16
24,36,20
25,25,17
26,54,36
27,27,26
28,33,29
29,46,53
30,21,74
31,17,85
32,37,94
33,33,143
34,26,138
35,24,141
36,37,235
37,27,184
38,16,121
39,13,154
40,30,187
41,12,193
42,19,155
43,12,121
44,17,154
45,35,576
46,17,121
47,11,185
48,25,183
49,16,212
50,8,120
51,1,60
52,23,235
53,12,207
54,1,61
55,0,37
56,11,130
57,1,28
58,0,6
59,6,58
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
