a,b,c
0,0,0
1,2,0
2,21,0
3,29,0
4,36,2
5,44,1
6,63,0
7,66,1
8,86,1
9,80,0
10,63,0
11,86,7
12,81,1
13,59,0
14,87,4
15,83,1
16,73,0
17,58,0
18,134,5
19,63,0
20,95,1
21,96,5
22,73,8
23,80,5
24,84,4
25,72,17
26,209,87
27,79,27
28,37,59
29,148,146
30,175,249
31,88,159
32,91,254
33,216,598
34,107,366
35,73,331
36,182,753
37,132,645
38,40,265
39,77,400
40,127,599
41,72,492
42,120,573
43,41,298
44,140,599
45,501,2687
46,22,297
47,102,564
48,85,489
49,97,599
50,42,336
51,9,115
52,140,955
53,136,798
54,7,116
55,7,69
56,56,411
57,4,58
58,1,10
59,29,165
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
