a,b,c
0,0,0
1,1,0
2,17,0
3,38,0
4,27,0
5,51,0
6,60,0
7,55,1
8,55,0
9,32,0
10,32,0
11,35,1
12,32,1
13,16,0
14,19,0
15,12,0
16,13,0
17,6,0
18,10,1
19,2,0
20,6,1
21,8,0
22,1,0
23,4,0
24,2,0
25,4,2
26,3,6
27,0,3
28,0,7
29,3,28
30,0,28
31,1,31
32,1,52
33,0,49
34,0,82
35,0,89
36,1,92
37,0,112
38,1,119
39,2,143
40,0,138
41,0,139
42,1,137
43,1,139
44,1,110
45,2,213
46,0,153
47,0,122
48,0,146
49,1,143
50,0,121
51,0,88
52,0,93
53,0,119
54,0,64
55,0,52
56,0,57
57,0,47
58,0,12
59,0,15
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
